ForceConstants data was loaded
Setting up dimensions...
Sampling 120 |q| shells between 0.0 1/Å and 3.0 1/Å
Final npts: 20000
Plotting figure: max intensity 2.212442256582971 1/meV
Saved plot to /mnt/ceph/home/rf1076209/brille-performance/tmp.png
ForceConstants data was loaded
Generating grid...
Grid generated with 13753 q-points. Calculating frequencies/eigenvectors...
Filling grid...
Setting up dimensions...
Sampling 120 |q| shells between 0.0 1/Å and 3.0 1/Å
Final npts: 20000
Plotting figure: max intensity 2.2124422565830226 1/meV
Saved plot to /mnt/ceph/home/rf1076209/brille-performance/tmp.png
         58258333 function calls (58192505 primitive calls) in 556.105 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      122  157.225    1.289  157.225    1.289 {built-in method euphonic._euphonic.calculate_phonons}
 13409672   70.317    0.000  173.703    0.000 numpy_func.py:57(<genexpr>)
 13412710   64.233    0.000  103.457    0.000 numpy_func.py:24(_is_quantity)
  3292188   41.844    0.000   41.844    0.000 sampling.py:104(_spherical_polar_to_cartesian)
13472517/13471001   39.417    0.000   39.466    0.000 {built-in method builtins.hasattr}
  3292428   35.375    0.000  105.914    0.000 sampling.py:117(golden_sphere)
28050/28046   32.845    0.001  206.969    0.007 {built-in method builtins.any}
      121   29.884    0.247   29.902    0.247 brille.py:113(_br_grid_calculate_phonons)
  3292188   14.636    0.000   14.636    0.000 sampling.py:110(_square_to_spherical_polar)
  3292428   14.058    0.000   14.058    0.000 sampling.py:18(golden_square)
      240    8.983    0.037  118.530    0.494 powder.py:348(_get_qpts_sphere)
      240    5.482    0.023    5.482    0.023 {method 'at' of 'numpy.ufunc' objects}
    20774    3.767    0.000    3.768    0.000 {built-in method numpy.array}
        1    1.673    1.673    4.533    4.533 brille.py:130(from_force_constants)
   495428    1.596    0.000    1.596    0.000 {method 'startswith' of 'str' objects}
      854    1.580    0.002    1.580    0.002 {method 'argsort' of 'numpy.ndarray' objects}
      240    1.378    0.006    1.378    0.006 {method 'searchsorted' of 'numpy.ndarray' objects}
    85976    1.212    0.000    2.111    0.000 threadpoolctl.py:733(_check_prefix)
319151/318819    1.019    0.000    1.643    0.000 {built-in method builtins.isinstance}
    21494    0.755    0.000    4.107    0.000 threadpoolctl.py:680(_make_controller_from_path)
235521/228686    0.631    0.000    0.667    0.000 {built-in method builtins.len}
     3789    0.623    0.000    1.298    0.000 registry.py:1023(_parse_unit_name)
     4097    0.494    0.000    0.494    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
