ForceConstants data was loaded
Setting up dimensions...
Calculating Debye-Waller factor on 6 x 6 x 6 q-point grid
Sampling 120 |q| shells between 0.0 1/Å and 3.0 1/Å
Final npts: 20000
Plotting figure: max intensity 0.8561052618722713 mb/meV
Saved plot to /mnt/ceph/home/rf1076209/brille-performance/tmp.png
ForceConstants data was loaded
Generating grid...
Grid generated with 13753 q-points. Calculating frequencies/eigenvectors...
Filling grid...
Setting up dimensions...
Calculating Debye-Waller factor on 6 x 6 x 6 q-point grid
Sampling 120 |q| shells between 0.0 1/Å and 3.0 1/Å
Final npts: 20000
Plotting figure: max intensity 14138.67479339701 mb/meV
Saved plot to /mnt/ceph/home/rf1076209/brille-performance/tmp.png
         120478145 function calls (120400695 primitive calls) in 975.945 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 33167128  172.848    0.000  429.957    0.000 numpy_func.py:57(<genexpr>)
      123  160.728    1.307  160.728    1.307 {built-in method euphonic._euphonic.calculate_phonons}
 33172106  159.036    0.000  257.222    0.000 numpy_func.py:24(_is_quantity)
33299206/33296720   98.584    0.000   98.674    0.000 {built-in method builtins.hasattr}
55156/55152   80.825    0.001  511.431    0.009 {built-in method builtins.any}
     5457   63.517    0.012   63.517    0.012 {built-in method numpy.core._multiarray_umath.c_einsum}
  3292188   42.437    0.000   42.437    0.000 sampling.py:104(_spherical_polar_to_cartesian)
  3292428   35.557    0.000  107.255    0.000 sampling.py:117(golden_sphere)
      122   30.281    0.248   30.298    0.248 brille.py:113(_br_grid_calculate_phonons)
  3292188   14.713    0.000   14.713    0.000 sampling.py:110(_square_to_spherical_polar)
  3292428   14.548    0.000   14.548    0.000 sampling.py:18(golden_square)
      480   13.483    0.028   13.483    0.028 {method 'at' of 'numpy.ufunc' objects}
      240   10.307    0.043  239.073    0.996 qpoint_phonon_modes.py:157(calculate_structure_factor)
      240    9.032    0.038  120.077    0.500 powder.py:348(_get_qpts_sphere)
    29164    4.360    0.000    4.361    0.000 {built-in method numpy.array}
      123    3.603    0.029  227.046    1.846 force_constants.py:429(_calculate_phonons_at_qpts)
758726/758394    2.257    0.000    3.422    0.000 {built-in method builtins.isinstance}
   562107    1.747    0.000    1.747    0.000 {method 'startswith' of 'str' objects}
        1    1.708    1.708    4.535    4.535 brille.py:130(from_force_constants)
      480    1.658    0.003    1.658    0.003 {method 'searchsorted' of 'numpy.ndarray' objects}
      240    1.600    0.007    2.647    0.011 structure_factor.py:292(_bose_factor)
      863    1.559    0.002    1.559    0.002 {method 'argsort' of 'numpy.ndarray' objects}
      240    1.422    0.006  125.988    0.525 structure_factor.py:225(_bose_corrected_structure_factor)
     2486    1.258    0.001  513.362    0.207 numpy_func.py:281(implementation)
    86672    1.209    0.000    2.096    0.000 threadpoolctl.py:733(_check_prefix)
    48897    1.057    0.000    3.248    0.000 quantity.py:201(__new__)
2517/1973    1.021    0.000    1.312    0.001 {built-in method _operator.truediv}
46682/35036    1.007    0.000   73.185    0.002 {built-in method numpy.core._multiarray_umath.implement_array_function}
368196/359416    0.975    0.000    1.020    0.000 {built-in method builtins.len}
    22853    0.905    0.000    7.308    0.000 quantity.py:1168(_mul_div)
     5059    0.805    0.000    1.680    0.000 registry.py:1023(_parse_unit_name)
    73561    0.775    0.000    1.358    0.000 compat.py:49(_to_magnitude)
    21668    0.743    0.000    4.061    0.000 threadpoolctl.py:680(_make_controller_from_path)
      240    0.721    0.003    1.258    0.005 function_base.py:280(average)
     1926    0.715    0.000    0.715    0.000 {method 'repeat' of 'numpy.ndarray' objects}
    12493    0.652    0.000    0.652    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    55065    0.643    0.000    1.207    0.000 util.py:422(__eq__)
      240    0.642    0.003  950.738    3.961 powder.py:196(sample_sphere_structure_factor)
    73608    0.632    0.000    1.167    0.000 abc.py:180(__instancecheck__)
    67747    0.535    0.000    0.906    0.000 util.py:802(__new__)
   146942    0.499    0.000    0.584    0.000 util.py:410(__hash__)
   102732    0.497    0.000    0.753    0.000 utils.py:330(<genexpr>)
    35432    0.478    0.000    1.146    0.000 util.py:324(__init__)
    84421    0.434    0.000    0.654    0.000 util.py:398(__iter__)
   176793    0.430    0.000    0.430    0.000 {method 'append' of 'list' objects}
    72420    0.418    0.000    0.857    0.000 _collections_abc.py:742(__iter__)
     6053    0.412    0.000    2.398    0.000 registry.py:949(_convert)
