         1958106 function calls (1957316 primitive calls) in 49.227 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.928    0.928   49.227   49.227 interpolate_cprofile.py:15(main)
        4    0.986    0.246   39.296    9.824 c:\users\mll13652\documents\pace_project\euphonic\euphonic\force_constants.py:426(_calculate_phonons_at_qpts)
        4   35.593    8.898   35.593    8.898 {built-in method euphonic._euphonic.calculate_phonons}
        3    0.071    0.024   23.518    7.839 c:\users\mll13652\documents\pace_project\euphonic\euphonic\force_constants.py:164(calculate_qpoint_phonon_modes)
        1    0.002    0.002   15.862   15.862 c:\users\mll13652\documents\pace_project\euphonic\euphonic\force_constants.py:395(calculate_qpoint_frequencies)
        1    0.116    0.116    5.021    5.021 c:\users\mll13652\documents\pace_project\euphonic\euphonic\brille.py:129(from_force_constants)
        2    4.476    2.238    4.510    2.255 c:\users\mll13652\documents\pace_project\euphonic\euphonic\brille.py:115(_br_grid_calculate_phonons)
        1    1.692    1.692    3.766    3.766 c:\users\mll13652\documents\pace_project\euphonic\euphonic\qpoint_phonon_modes.py:166(calculate_structure_factor)
160405/160229    0.241    0.000    3.464    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    90837    0.029    0.000    2.825    0.000 <__array_function__ internals>:177(einsum)
    90837    0.016    0.000    2.685    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\numpy\core\einsumfunc.py:1009(einsum)
    90837    2.669    0.000    2.669    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
        1    0.000    0.000    2.279    2.279 c:\users\mll13652\documents\pace_project\euphonic\euphonic\brille.py:61(calculate_qpoint_phonon_modes)
        1    0.000    0.000    2.239    2.239 c:\users\mll13652\documents\pace_project\euphonic\euphonic\brille.py:88(calculate_qpoint_frequencies)
        1    0.785    0.785    1.449    1.449 c:\users\mll13652\documents\pace_project\euphonic\euphonic\force_constants.py:948(_dipole_correction_init)
        1    0.523    0.523    0.996    0.996 c:\users\mll13652\documents\pace_project\euphonic\euphonic\force_constants.py:1564(_calculate_supercell_images)
    50790    0.021    0.000    0.518    0.000 <__array_function__ internals>:177(sum)
    50790    0.038    0.000    0.473    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\numpy\core\fromnumeric.py:2162(sum)
    50807    0.038    0.000    0.443    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
        1    0.030    0.030    0.390    0.390 c:\users\mll13652\documents\pace_project\euphonic\euphonic\qpoint_phonon_modes.py:296(calculate_debye_waller)
    50928    0.386    0.000    0.386    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        4    0.000    0.000    0.140    0.035 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\threadpoolctl.py:372(__init__)
        4    0.000    0.000    0.140    0.035 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\threadpoolctl.py:401(__init__)
        4    0.000    0.000    0.140    0.035 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\threadpoolctl.py:552(_load_libraries)
        4    0.104    0.026    0.140    0.035 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\threadpoolctl.py:617(_find_libraries_with_enum_process_module_ex)
       27    0.000    0.000    0.096    0.004 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\quantity.py:49(__array_ufunc__)
       27    0.000    0.000    0.095    0.004 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:937(numpy_wrap)
       27    0.023    0.001    0.095    0.004 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:285(implementation)
    18065    0.007    0.000    0.082    0.000 <__array_function__ internals>:177(where)
      773    0.010    0.000    0.071    0.000 {built-in method builtins.any}
       54    0.000    0.000    0.069    0.001 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:43(_is_sequence_with_quantity_elements)
        1    0.000    0.000    0.069    0.069 c:\users\mll13652\documents\pace_project\euphonic\euphonic\force_constants.py:1816(from_castep)
      4/3    0.000    0.000    0.062    0.021 <frozen importlib._bootstrap>:986(_find_and_load)
      4/3    0.000    0.000    0.062    0.021 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      7/4    0.000    0.000    0.062    0.015 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      4/3    0.000    0.000    0.060    0.020 <frozen importlib._bootstrap>:650(_load_unlocked)
        1    0.010    0.010    0.060    0.060 c:\users\mll13652\documents\pace_project\euphonic\euphonic\readers\castep.py:359(read_interpolation_data)
   123192    0.036    0.000    0.060    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:59(<genexpr>)
        1    0.000    0.000    0.055    0.055 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\numpy\lib\npyio.py:1061(loadtxt)
        1    0.000    0.000    0.055    0.055 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\numpy\lib\npyio.py:781(_read)
        4    0.000    0.000    0.055    0.014 <frozen importlib._bootstrap>:549(module_from_spec)
        1    0.000    0.000    0.055    0.055 <frozen importlib._bootstrap_external>:1164(create_module)
        1    0.055    0.055    0.055    0.055 {built-in method _imp.create_dynamic}
        1    0.052    0.052    0.054    0.054 {built-in method numpy.core._multiarray_umath._load_from_filelike}
       64    0.000    0.000    0.051    0.001 <__array_function__ internals>:177(concatenate)
     9310    0.005    0.000    0.039    0.000 c:\users\mll13652\documents\pace_project\euphonic\euphonic\readers\castep.py:557(_read_entry)
      116    0.000    0.000    0.038    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\plain\quantity.py:504(to)
       27    0.000    0.000    0.036    0.001 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:63(_get_first_input_units)
      672    0.002    0.000    0.035    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\threadpoolctl.py:680(_make_controller_from_path)
