use_brille=False
         38579640 function calls (38556996 primitive calls) in 6153.234 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.006    0.006 6153.238 6153.238 powder_map_cprofile.py:11(main)
        1   40.103   40.103 6153.231 6153.231 c:\users\mll13652\documents\pace_project\euphonic\euphonic\cli\powder_map.py:77(main)
      120   13.847    0.115 6108.198   50.902 c:\users\mll13652\documents\pace_project\euphonic\euphonic\powder.py:196(sample_sphere_structure_factor)
      121   35.788    0.296 5698.230   47.093 c:\users\mll13652\documents\pace_project\euphonic\euphonic\force_constants.py:164(calculate_qpoint_phonon_modes)
      122   98.598    0.808 5664.728   46.432 c:\users\mll13652\documents\pace_project\euphonic\euphonic\force_constants.py:426(_calculate_phonons_at_qpts)
      122 5557.401   45.552 5557.401   45.552 {built-in method euphonic._euphonic.calculate_phonons}
      120  147.985    1.233  355.471    2.962 c:\users\mll13652\documents\pace_project\euphonic\euphonic\qpoint_phonon_modes.py:166(calculate_structure_factor)
176775/169704    0.508    0.000  208.680    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
    91550    0.031    0.000  204.281    0.002 <__array_function__ internals>:177(einsum)
    91550    0.018    0.000  204.135    0.002 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\numpy\core\einsumfunc.py:1009(einsum)
    91550  204.117    0.002  204.117    0.002 {built-in method numpy.core._multiarray_umath.c_einsum}
      120    0.391    0.003   34.196    0.285 c:\users\mll13652\documents\pace_project\euphonic\euphonic\structure_factor.py:122(calculate_1d_average)
      120    1.804    0.015   33.267    0.277 c:\users\mll13652\documents\pace_project\euphonic\euphonic\structure_factor.py:225(_bose_corrected_structure_factor)
      240   23.441    0.098   23.441    0.098 {method 'at' of 'numpy.ufunc' objects}
     1365    0.008    0.000    6.129    0.004 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\quantity.py:49(__array_ufunc__)
     1365    0.006    0.000    6.118    0.004 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:937(numpy_wrap)
     1365    1.274    0.001    6.108    0.004 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:285(implementation)
      120    0.135    0.001    5.908    0.049 c:\users\mll13652\documents\pace_project\euphonic\euphonic\powder.py:348(_get_qpts_sphere)
   933726    0.513    0.000    5.523    0.000 c:\users\mll13652\documents\pace_project\euphonic\euphonic\sampling.py:117(golden_sphere)
    48249    0.672    0.000    4.763    0.000 {built-in method builtins.any}
     2730    0.005    0.000    4.711    0.002 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:43(_is_sequence_with_quantity_elements)
  9459532    2.435    0.000    4.049    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:59(<genexpr>)
      120    3.477    0.029    3.622    0.030 c:\users\mll13652\documents\pace_project\euphonic\euphonic\structure_factor.py:292(_bose_factor)
      122    0.001    0.000    3.589    0.029 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\threadpoolctl.py:372(__init__)
      122    0.000    0.000    3.576    0.029 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\threadpoolctl.py:401(__init__)
      122    0.000    0.000    3.576    0.029 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\threadpoolctl.py:552(_load_libraries)
      122    3.267    0.027    3.575    0.029 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\threadpoolctl.py:617(_find_libraries_with_enum_process_module_ex)
