         6072118 function calls (6071339 primitive calls) in 19.069 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.155    0.155   19.069   19.069 interpolate_cprofile.py:15(main)
        2   10.192    5.096   10.525    5.262 c:\users\mll13652\documents\pace_project\euphonic\euphonic\brille.py:115(_br_grid_calculate_phonons)
        1    0.000    0.000    5.286    5.286 c:\users\mll13652\documents\pace_project\euphonic\euphonic\brille.py:88(calculate_qpoint_frequencies)
        1    0.000    0.000    5.253    5.253 c:\users\mll13652\documents\pace_project\euphonic\euphonic\brille.py:61(calculate_qpoint_phonon_modes)
        4    0.326    0.081    4.184    1.046 c:\users\mll13652\documents\pace_project\euphonic\euphonic\force_constants.py:426(_calculate_phonons_at_qpts)
        1    2.396    2.396    3.584    3.584 c:\users\mll13652\documents\pace_project\euphonic\euphonic\brille.py:129(from_force_constants)
        4    3.069    0.767    3.069    0.767 {built-in method euphonic._euphonic.calculate_phonons}
        3    0.011    0.004    2.919    0.973 c:\users\mll13652\documents\pace_project\euphonic\euphonic\force_constants.py:164(calculate_qpoint_phonon_modes)
        1    0.582    0.582    1.674    1.674 c:\users\mll13652\documents\pace_project\euphonic\euphonic\qpoint_phonon_modes.py:166(calculate_structure_factor)
        1    0.001    0.001    1.294    1.294 c:\users\mll13652\documents\pace_project\euphonic\euphonic\force_constants.py:395(calculate_qpoint_frequencies)
9658/9493    0.015    0.000    1.046    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       27    0.000    0.000    0.929    0.034 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\quantity.py:49(__array_ufunc__)
       27    0.000    0.000    0.929    0.034 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:937(numpy_wrap)
       27    0.042    0.002    0.929    0.034 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:285(implementation)
      569    0.123    0.000    0.886    0.002 {built-in method builtins.any}
       54    0.000    0.000    0.885    0.016 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:43(_is_sequence_with_quantity_elements)
     2015    0.001    0.000    0.833    0.000 <__array_function__ internals>:177(einsum)
     2015    0.000    0.000    0.830    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\numpy\core\einsumfunc.py:1009(einsum)
     2015    0.829    0.000    0.829    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
  1957996    0.457    0.000    0.762    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:59(<genexpr>)
       27    0.000    0.000    0.521    0.019 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:63(_get_first_input_units)
