use_brille=False
         35867589 function calls (35844686 primitive calls) in 136.553 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  136.556  136.556 powder_map_cprofile.py:11(main)
        1    0.836    0.836  136.556  136.556 c:\users\mll13652\documents\pace_project\euphonic\euphonic\cli\powder_map.py:77(main)
      120    0.477    0.004  134.782    1.123 c:\users\mll13652\documents\pace_project\euphonic\euphonic\powder.py:196(sample_sphere_structure_factor)
      121    1.108    0.009  105.925    0.875 c:\users\mll13652\documents\pace_project\euphonic\euphonic\force_constants.py:164(calculate_qpoint_phonon_modes)
      122    2.875    0.024  104.900    0.860 c:\users\mll13652\documents\pace_project\euphonic\euphonic\force_constants.py:426(_calculate_phonons_at_qpts)
      122   96.301    0.789   96.301    0.789 {built-in method euphonic._euphonic.calculate_phonons}
      120    5.238    0.044   13.550    0.113 c:\users\mll13652\documents\pace_project\euphonic\euphonic\qpoint_phonon_modes.py:166(calculate_structure_factor)
25618/18555    0.321    0.000    8.402    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      120    0.303    0.003    8.221    0.069 c:\users\mll13652\documents\pace_project\euphonic\euphonic\structure_factor.py:122(calculate_1d_average)
      120    0.721    0.006    7.285    0.061 c:\users\mll13652\documents\pace_project\euphonic\euphonic\structure_factor.py:225(_bose_corrected_structure_factor)
     2728    0.003    0.000    6.074    0.002 <__array_function__ internals>:177(einsum)
     2728    0.002    0.000    6.063    0.002 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\numpy\core\einsumfunc.py:1009(einsum)
     2728    6.061    0.002    6.061    0.002 {built-in method numpy.core._multiarray_umath.c_einsum}
     1365    0.008    0.000    5.193    0.004 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\quantity.py:49(__array_ufunc__)
     1365    0.006    0.000    5.181    0.004 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:937(numpy_wrap)
     1365    0.602    0.000    5.172    0.004 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:285(implementation)
      120    0.132    0.001    5.152    0.043 c:\users\mll13652\documents\pace_project\euphonic\euphonic\powder.py:348(_get_qpts_sphere)
   933726    0.467    0.000    4.805    0.000 c:\users\mll13652\documents\pace_project\euphonic\euphonic\sampling.py:117(golden_sphere)
    23772    0.623    0.000    4.484    0.000 {built-in method builtins.any}
     2730    0.005    0.000    4.443    0.002 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:43(_is_sequence_with_quantity_elements)
  9446862    2.294    0.000    3.822    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:59(<genexpr>)
      122    0.000    0.000    3.413    0.028 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\threadpoolctl.py:372(__init__)
      122    0.000    0.000    3.401    0.028 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\threadpoolctl.py:401(__init__)
      122    0.000    0.000    3.401    0.028 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\threadpoolctl.py:552(_load_libraries)
      122    3.093    0.025    3.400    0.028 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\threadpoolctl.py:617(_find_libraries_with_enum_process_module_ex)
      240    3.381    0.014    3.381    0.014 {method 'at' of 'numpy.ufunc' objects}
   933606    2.954    0.000    2.954    0.000 c:\users\mll13652\documents\pace_project\euphonic\euphonic\sampling.py:104(_spherical_polar_to_cartesian)
     1365    0.005    0.000    2.249    0.002 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:63(_get_first_input_units)
     1365    0.005    0.000    2.221    0.002 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:101(convert_to_consistent_units)
     4095    0.002    0.000    2.216    0.001 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:111(<genexpr>)
     2730    0.004    0.000    2.214    0.001 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:74(convert_arg)
  9449594    1.007    0.000    1.531    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\numpy\numpy_func.py:26(_is_quantity)
   933606    0.875    0.000    0.875    0.000 c:\users\mll13652\documents\pace_project\euphonic\euphonic\sampling.py:110(_square_to_spherical_polar)
      124    0.002    0.000    0.860    0.007 c:\users\mll13652\documents\pace_project\euphonic\euphonic\qpoint_frequencies.py:77(frequencies)
    11912    0.014    0.000    0.695    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\plain\quantity.py:94(wrapped)
     4386    0.013    0.000    0.679    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\plain\quantity.py:504(to)
    11425    0.008    0.000    0.661    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\plain\quantity.py:81(wrapped)
    11425    0.047    0.000    0.653    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\plain\quantity.py:1050(_mul_div)
      120    0.000    0.000    0.564    0.005 <__array_function__ internals>:177(average)
      120    0.467    0.004    0.563    0.005 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\numpy\lib\function_base.py:396(average)
9556485/9555120    0.556    0.000    0.562    0.000 {built-in method builtins.hasattr}
     4746    0.006    0.000    0.518    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\plain\quantity.py:466(_convert_magnitude_not_inplace)
     4746    0.010    0.000    0.513    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\plain\registry.py:878(convert)
   933726    0.509    0.000    0.509    0.000 c:\users\mll13652\documents\pace_project\euphonic\euphonic\sampling.py:18(golden_square)
      120    0.010    0.000    0.486    0.004 c:\users\mll13652\documents\pace_project\euphonic\euphonic\util.py:172(get_reference_data)
     3146    0.023    0.000    0.476    0.000 C:\Users\MLL13652\Miniconda3\envs\py38_brille_prof\lib\site-packages\pint\facets\context\registry.py:354(_convert)
