ForceConstants data was loaded
Setting up dimensions...
Calculating Debye-Waller factor on 6 x 6 x 6 q-point grid
Sampling 120 |q| shells between 0.0 1/Å and 3.0 1/Å
Final npts: 10000
Plotting figure: max intensity 1.8816307607687979 mb/meV
Saved plot to /mnt/ceph/home/rf1076209/brille-performance/profile_scripts/tmp.png
ForceConstants data was loaded
Generating grid...
Grid generated with 13753 q-points. Calculating frequencies/eigenvectors...
Filling grid...
Setting up dimensions...
Calculating Debye-Waller factor on 6 x 6 x 6 q-point grid
Sampling 120 |q| shells between 0.0 1/Å and 3.0 1/Å
Final npts: 10000
Plotting figure: max intensity 76.00483294735275 mb/meV
Saved plot to /mnt/ceph/home/rf1076209/brille-performance/profile_scripts/tmp.png
         72028625 function calls (71951174 primitive calls) in 580.593 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 18917368   98.360    0.000  242.676    0.000 numpy_func.py:57(<genexpr>)
      123   92.531    0.752   92.531    0.752 {built-in method euphonic._euphonic.calculate_phonons}
 18922346   89.992    0.000  144.439    0.000 numpy_func.py:24(_is_quantity)
19049446/19046960   54.827    0.000   54.917    0.000 {built-in method builtins.hasattr}
55156/55152   46.093    0.001  289.412    0.005 {built-in method builtins.any}
     5457   36.201    0.007   36.201    0.007 {built-in method numpy.core._multiarray_umath.c_einsum}
  1867212   23.711    0.000   23.711    0.000 sampling.py:104(_spherical_polar_to_cartesian)
      122   22.713    0.186   22.725    0.186 brille.py:113(_br_grid_calculate_phonons)
  1867452   20.116    0.000   60.033    0.000 sampling.py:117(golden_sphere)
  1867212    8.160    0.000    8.160    0.000 sampling.py:110(_square_to_spherical_polar)
  1867452    8.045    0.000    8.045    0.000 sampling.py:18(golden_square)
      480    7.553    0.016    7.553    0.016 {method 'at' of 'numpy.ufunc' objects}
      240    6.018    0.025  137.685    0.574 qpoint_phonon_modes.py:157(calculate_structure_factor)
      240    5.122    0.021   67.258    0.280 powder.py:348(_get_qpts_sphere)
    29164    2.492    0.000    2.493    0.000 {built-in method numpy.array}
758728/758396    2.251    0.000    3.400    0.000 {built-in method builtins.isinstance}
      123    2.182    0.018  133.984    1.089 force_constants.py:429(_calculate_phonons_at_qpts)
   562061    1.752    0.000    1.752    0.000 {method 'startswith' of 'str' objects}
        1    1.682    1.682    4.530    4.530 brille.py:130(from_force_constants)
    86672    1.220    0.000    2.119    0.000 threadpoolctl.py:733(_check_prefix)
    48897    1.054    0.000    3.231    0.000 quantity.py:201(__new__)
      480    1.005    0.002    1.005    0.002 {method 'searchsorted' of 'numpy.ndarray' objects}
368192/359412    0.968    0.000    1.012    0.000 {built-in method builtins.len}
      240    0.906    0.004    1.914    0.008 structure_factor.py:292(_bose_factor)
    22853    0.900    0.000    6.853    0.000 quantity.py:1168(_mul_div)
      240    0.809    0.003   72.102    0.300 structure_factor.py:225(_bose_corrected_structure_factor)
     5057    0.799    0.000    1.667    0.000 registry.py:1023(_parse_unit_name)
46682/35036    0.784    0.000   42.928    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2486    0.783    0.000  290.849    0.117 numpy_func.py:281(implementation)
    73561    0.766    0.000    1.347    0.000 compat.py:49(_to_magnitude)
      863    0.765    0.001    0.765    0.001 {method 'argsort' of 'numpy.ndarray' objects}
    21668    0.755    0.000    4.128    0.000 threadpoolctl.py:680(_make_controller_from_path)
    55072    0.636    0.000    1.196    0.000 util.py:422(__eq__)
    73608    0.631    0.000    1.151    0.000 abc.py:180(__instancecheck__)
2517/1973    0.600    0.000    0.888    0.000 {built-in method _operator.truediv}
    67747    0.532    0.000    0.893    0.000 util.py:802(__new__)
   146956    0.495    0.000    0.579    0.000 util.py:410(__hash__)
   102732    0.495    0.000    0.747    0.000 utils.py:330(<genexpr>)
    35432    0.474    0.000    1.138    0.000 util.py:324(__init__)
     1926    0.429    0.000    0.429    0.000 {method 'repeat' of 'numpy.ndarray' objects}
    84421    0.428    0.000    0.645    0.000 util.py:398(__iter__)
   176793    0.428    0.000    0.428    0.000 {method 'append' of 'list' objects}
    12493    0.417    0.000    0.417    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    72420    0.417    0.000    0.850    0.000 _collections_abc.py:742(__iter__)
      240    0.412    0.002    0.737    0.003 function_base.py:280(average)
     3214    0.404    0.000    0.753    0.000 inspect.py:2861(_bind)
   127555    0.391    0.000    0.391    0.000 _weakrefset.py:70(__contains__)
     6053    0.382    0.000    2.341    0.000 registry.py:949(_convert)
    26841    0.375    0.000    0.942    0.000 tokenize.py:492(_tokenize)
   131085    0.372    0.000    0.373    0.000 {built-in method __new__ of type object at 0x7fa9577520e0}
    24585    0.371    0.000    1.462    0.000 util.py:467(__mul__)
    21776    0.348    0.000    0.766    0.000 posixpath.py:144(basename)
    42312    0.343    0.000    0.509    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      240    0.335    0.001  555.460    2.314 powder.py:196(sample_sphere_structure_factor)
    25780    0.327    0.000    2.140    0.000 registry.py:698(_get_dimensionality)
        2    0.319    0.159  570.451  285.225 powder_map.py:59(main)
   111135    0.311    0.000    0.311    0.000 {method 'items' of 'dict' objects}
     2668    0.307    0.000    0.601    0.000 inspect.py:614(cleandoc)
88232/88224    0.302    0.000    0.514    0.000 {built-in method builtins.getattr}
    34280    0.295    0.000    0.491    0.000 util.py:458(__copy__)
    21914    0.288    0.000    4.509    0.000 threadpoolctl.py:577(match_library_callback)
      240    0.275    0.001    0.307    0.001 linalg.py:314(solve)
    23827    0.271    0.000    7.705    0.000 quantity.py:107(wrapped)
   102581    0.267    0.000    0.267    0.000 {built-in method builtins.iter}
 4229/266    0.262    0.000    0.807    0.003 sre_compile.py:64(_compile)
    45999    0.261    0.000    0.386    0.000 _collections_abc.py:676(items)
   102000    0.253    0.000    0.253    0.000 {built-in method unicodedata.east_asian_width}
      804    0.252    0.000    1.002    0.001 {built-in method builtins.sum}
 3234/276    0.249    0.000    0.954    0.003 sre_parse.py:470(_parse)
    15072    0.244    0.000    0.502    0.000 numeric.py:1308(normalize_axis_tuple)
    44608    0.228    0.000    0.340    0.000 util.py:401(__len__)
      339    0.226    0.001    0.757    0.002 doccer.py:10(docformat)
     7536    0.224    0.000    0.876    0.000 numeric.py:1371(moveaxis)
    25822    0.222    0.000    0.518    0.000 __init__.py:894(__contains__)
    25692    0.219    0.000    1.043    0.000 quantity.py:1945(_get_non_multiplicative_units)
    32513    0.219    0.000    0.333    0.000 posixpath.py:41(_get_sep)
    32228    0.217    0.000    1.123    0.000 registry.py:341(UnitsContainer)
