Generating grid...
Grid generated with 13753 q-points. Calculating frequencies/eigenvectors...
Filling grid...
         10674258 function calls (10322538 primitive calls) in 57.146 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3   14.230    4.743   14.230    4.743 {built-in method euphonic._euphonic.calculate_phonons}
        1   12.147   12.147   12.147   12.147 brille.py:113(_br_grid_calculate_phonons)
     2016   10.152    0.005   10.152    0.005 {built-in method numpy.core._multiarray_umath.c_einsum}
        1    3.553    3.553   12.101   12.101 brille.py:130(from_force_constants)
  120/118    3.378    0.028    3.387    0.029 {built-in method _imp.create_dynamic}
       45    3.170    0.070    3.170    0.070 {built-in method _ctypes.LoadLibrary}
        1    0.991    0.991    3.298    3.298 qpoint_phonon_modes.py:157(calculate_structure_factor)
      653    0.882    0.001    0.936    0.001 <frozen importlib._bootstrap_external>:914(get_data)
     3110    0.766    0.000    0.766    0.000 {built-in method nt.stat}
        3    0.583    0.194   16.055    5.352 force_constants.py:429(_calculate_phonons_at_qpts)
  1314760    0.553    0.000    0.967    0.000 numpy_func.py:57(<genexpr>)
        1    0.505    0.505   46.200   46.200 interpolate_cprofile.py:10(main)
        5    0.422    0.084    1.660    0.332 npyio.py:972(read_data)
        3    0.403    0.134    0.425    0.142 threadpoolctl.py:430(_find_modules_with_enum_process_module_ex)
    32049    0.326    0.000    0.527    0.000 inspect.py:613(cleandoc)
  1314806    0.298    0.000    0.414    0.000 numpy_func.py:24(_is_quantity)
   482403    0.263    0.000    0.309    0.000 npyio.py:732(floatconv)
        1    0.247    0.247   57.150   57.150 interpolate_cprofile.py:1(<module>)
321602/160801    0.234    0.000    0.321    0.000 npyio.py:946(pack_items)
   160802    0.168    0.000    0.336    0.000 npyio.py:963(split_line)
321603/160802    0.150    0.000    0.402    0.000 _internal.py:908(__call__)
     5830    0.147    0.000    1.126    0.000 {built-in method builtins.any}
   160801    0.133    0.000    0.442    0.000 npyio.py:999(<listcomp>)
       21    0.130    0.006    0.130    0.006 {method 'argsort' of 'numpy.ndarray' objects}
        1    0.129    0.129    1.846    1.846 npyio.py:771(loadtxt)
1341387/1341364    0.129    0.000    0.129    0.000 {built-in method builtins.hasattr}
      653    0.107    0.000    0.107    0.000 {built-in method marshal.loads}
        1    0.095    0.095    0.176    0.176 force_constants.py:1530(_calculate_supercell_images)
1057764/1053956    0.084    0.000    0.085    0.000 {built-in method builtins.len}
   201480    0.073    0.000    0.073    0.000 {method 'split' of 'str' objects}
     9163    0.072    0.000    0.183    0.000 inspect.py:2110(_signature_from_function)
   160848    0.063    0.000    0.063    0.000 {method 'split' of 're.Pattern' objects}
      655    0.054    0.000    0.054    0.000 {method 'read' of '_io.FileIO' objects}
      865    0.054    0.000    0.054    0.000 {built-in method numpy.array}
     3870    0.052    0.000    0.052    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   283111    0.052    0.000    0.052    0.000 {method 'startswith' of 'str' objects}
   214637    0.050    0.000    0.050    0.000 {built-in method builtins.min}
       37    0.048    0.001    0.049    0.001 {built-in method io.open}
   490127    0.048    0.000    0.048    0.000 {method 'lower' of 'str' objects}
       23    0.046    0.002    1.157    0.050 numpy_func.py:281(implementation)
    25327    0.044    0.000    0.073    0.000 inspect.py:2460(__init__)
   319603    0.044    0.000    0.044    0.000 {method 'lstrip' of 'str' objects}
   453868    0.044    0.000    0.044    0.000 {method 'append' of 'list' objects}
       44    0.043    0.001    0.051    0.001 registry.py:949(_convert)
9814/9270    0.043    0.000    0.265    0.000 inspect.py:2191(_signature_from_callable)
   195462    0.038    0.000    0.049    0.000 {built-in method builtins.isinstance}
     9159    0.038    0.000    0.038    0.000 {method 'search' of 're.Pattern' objects}
    33099    0.036    0.000    0.568    0.000 inspect.py:594(getdoc)
   160803    0.036    0.000    0.036    0.000 _iotools.py:11(_decode_line)
        1    0.035    0.035    0.080    0.080 force_constants.py:967(_dipole_correction_init)
    40771    0.035    0.000    0.035    0.000 {method 'expandtabs' of 'str' objects}
      216    0.034    0.000    0.500    0.002 artist.py:1422(get_setters)
        3    0.034    0.011   16.103    5.368 force_constants.py:161(calculate_qpoint_phonon_modes)
1926/1753    0.034    0.000    2.333    0.001 {built-in method builtins.__build_class__}
     9762    0.033    0.000    0.048    0.000 inspect.py:2743(__init__)
   169523    0.029    0.000    0.029    0.000 {method 'strip' of 'str' objects}
      373    0.029    0.000    0.076    0.000 doccer.py:10(docformat)
   1308/1    0.029    0.000   57.150   57.150 {built-in method builtins.exec}
     2598    0.028    0.000    0.059    0.000 registry.py:1023(_parse_unit_name)
9847/9456    0.028    0.000   10.415    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
       90    0.027    0.000    0.027    0.000 {built-in method nt.listdir}
      124    0.027    0.000    0.031    0.000 util.py:56(is_gamma)
54534/54461    0.026    0.000    0.049    0.000 {method 'join' of 'str' objects}
      451    0.026    0.000    0.026    0.000 {built-in method builtins.dir}
    77864    0.025    0.000    0.027    0.000 {built-in method builtins.getattr}
     6474    0.023    0.000    0.031    0.000 {method 'sub' of 're.Pattern' objects}
    27386    0.021    0.000    0.483    0.000 artist.py:1441(is_alias)
      216    0.019    0.000    0.361    0.002 artist.py:1347(get_aliases)
      357    0.019    0.000    0.019    0.000 {built-in method builtins.compile}
        1    0.018    0.018    0.018    0.018 colorbar.py:291(Colorbar)
     4175    0.018    0.000    0.035    0.000 util.py:324(__init__)
     4108    0.017    0.000    0.045    0.000 tokenize.py:487(_tokenize)
  909/293    0.017    0.000    0.044    0.000 sre_parse.py:475(_parse)
     1365    0.017    0.000    0.702    0.001 <frozen importlib._bootstrap_external>:1356(find_spec)
  120/109    0.017    0.000    0.246    0.002 {built-in method _imp.exec_dynamic}
     4000    0.016    0.000    0.209    0.000 artist.py:1375(get_valid_values)
    25951    0.016    0.000    0.026    0.000 enum.py:281(__call__)
       21    0.016    0.001    0.149    0.007 arraysetops.py:320(_unique1d)
     9177    0.015    0.000    0.025    0.000 inspect.py:484(unwrap)
     1399    0.015    0.000    0.022    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        3    0.015    0.005    0.020    0.007 force_constants.py:1199(_get_q_dirs)
      216    0.013    0.000    0.027    0.000 artist.py:1358(<listcomp>)
     9310    0.013    0.000    0.100    0.000 re.py:271(_compile)
    43467    0.012    0.000    0.012    0.000 {method 'pop' of 'list' objects}
 4557/456    0.012    0.000    0.029    0.000 registry.py:722(_get_dimensionality_recurse)
       81    0.012    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      382    0.011    0.000    0.020    0.000 doccer.py:177(indentcount_lines)
      653    0.011    0.000    1.193    0.002 <frozen importlib._bootstrap_external>:793(get_code)
 2960/429    0.011    0.000    0.032    0.000 registry.py:865(_get_root_units_recurse)
     8753    0.011    0.000    0.011    0.000 {method 'splitlines' of 'str' objects}
     5074    0.011    0.000    0.011    0.000 {method 'match' of 're.Pattern' objects}
    834/5    0.011    0.000   10.714    2.143 <frozen importlib._bootstrap>:978(_find_and_load)
    30889    0.010    0.000    0.013    0.000 inspect.py:2792(<genexpr>)
       30    0.010    0.000    0.080    0.003 __init__.py:759(_rc_params_in_file)
 1346/653    0.009    0.000    0.073    0.000 pint_eval.py:105(build_eval_tree)
 1721/283    0.009    0.000    0.020    0.000 sre_compile.py:71(_compile)
      820    0.009    0.000    0.751    0.001 <frozen importlib._bootstrap>:882(_find_spec)
    43744    0.008    0.000    0.008    0.000 {method 'get' of 'dict' objects}
     3851    0.008    0.000    0.064    0.000 fromnumeric.py:69(_wrapreduction)
      114    0.008    0.000    0.504    0.004 artist.py:1491(pprint_setters)
      411    0.007    0.000    0.007    0.000 {built-in method _codecs.charmap_decode}
     9272    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
    21225    0.007    0.000    0.007    0.000 __init__.py:908(__getitem__)
     3806    0.007    0.000    0.071    0.000 fromnumeric.py:2123(sum)
    20766    0.007    0.000    0.009    0.000 inspect.py:158(isfunction)
     2184    0.007    0.000    0.020    0.000 inspect.py:535(_finddoc)
    12132    0.007    0.000    0.007    0.000 {method 'replace' of 'str' objects}
     6455    0.006    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
    25933    0.006    0.000    0.007    0.000 enum.py:537(__new__)
     1306    0.006    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        1    0.006    0.006    0.157    0.157 registry.py:593(_build_cache)
    14337    0.006    0.000    0.007    0.000 {built-in method _abc._abc_instancecheck}
     8370    0.006    0.000    0.006    0.000 {method 'format' of 'str' objects}
    794/5    0.006    0.000   10.706    2.141 <frozen importlib._bootstrap>:663(_load_unlocked)
      620    0.006    0.000    0.148    0.000 util.py:587(from_string)
     8037    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x00007FFBBFAAE890}
     6455    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     4000    0.006    0.000    0.013    0.000 artist.py:1448(aliased_name)
     9135    0.006    0.000    0.271    0.000 inspect.py:3068(signature)
     8491    0.006    0.000    0.030    0.000 registry.py:630(get_name)
     9135    0.006    0.000    0.266    0.000 inspect.py:2816(from_callable)
      629    0.005    0.000    0.008    0.000 ntpath.py:178(split)
      794    0.005    0.000    0.027    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     3455    0.005    0.000    0.063    0.000 compat.py:29(tokenizer)
     1685    0.005    0.000    0.005    0.000 {built-in method _thread.allocate_lock}
 2037/607    0.005    0.000    0.006    0.000 sre_parse.py:174(getwidth)
    10167    0.005    0.000    0.005    0.000 sre_parse.py:233(__next)
     2483    0.005    0.000    0.024    0.000 util.py:536(__init__)
     1312    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      104    0.005    0.000    0.012    0.000 __init__.py:316(namedtuple)
     5245    0.005    0.000    0.005    0.000 re.py:307(_subx)
    828/5    0.005    0.000   10.713    2.143 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    13169    0.005    0.000    0.006    0.000 util.py:410(__hash__)
       60    0.005    0.000    0.045    0.001 __init__.py:738(_open_file_or_url)
    11370    0.005    0.000    0.007    0.000 sre_parse.py:164(__getitem__)
  801/800    0.005    0.000    0.736    0.001 <frozen importlib._bootstrap_external>:1240(_get_spec)
     3437    0.005    0.000    0.009    0.000 util.py:422(__eq__)
    14337    0.005    0.000    0.011    0.000 abc.py:137(__instancecheck__)
     1250    0.004    0.000    0.010    0.000 functools.py:37(update_wrapper)
    27526    0.004    0.000    0.004    0.000 {method 'isidentifier' of 'str' objects}
     2184    0.004    0.000    0.008    0.000 inspect.py:525(_findclass)
    12260    0.004    0.000    0.007    0.000 util.py:398(__iter__)
     1949    0.004    0.000    0.006    0.000 ntpath.py:122(splitdrive)
     1268    0.004    0.000    0.018    0.000 util.py:561(eval_token)
    10074    0.004    0.000    0.006    0.000 inspect.py:504(_is_wrapper)
     1027    0.004    0.000    0.048    0.000 registry.py:793(_get_root_units)
      774    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     1399    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:78(acquire)
    653/4    0.004    0.000   10.700    2.675 <frozen importlib._bootstrap_external>:722(exec_module)
3524/1504    0.004    0.000    9.069    0.006 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     7139    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      653    0.004    0.000    0.037    0.000 util.py:766(string_preprocessor)
    28896    0.004    0.000    0.004    0.000 inspect.py:2510(name)
 1969/653    0.004    0.000    0.036    0.000 pint_eval.py:67(evaluate)
     1260    0.004    0.000    0.042    0.000 registry.py:698(_get_dimensionality)
      393    0.004    0.000    0.118    0.000 definitions.py:235(from_string)
        1    0.004    0.004    0.028    0.028 castep.py:332(read_interpolation_data)
     1399    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:103(release)
     3806    0.004    0.000    0.079    0.000 <__array_function__ internals>:2(sum)
     5185    0.004    0.000    0.061    0.000 re.py:180(search)
        3    0.004    0.001    0.004    0.001 <frozen importlib._bootstrap_external>:927(open_resource)
      396    0.004    0.000    0.005    0.000 sre_compile.py:276(_optimize_charset)
      654    0.004    0.000    0.007    0.000 tokenize.py:350(detect_encoding)
     3241    0.004    0.000    0.007    0.000 __init__.py:928(__contains__)
    38284    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
      376    0.003    0.000    0.027    0.000 _util.py:349(getfullargspec_no_self)
      488    0.003    0.000    0.006    0.000 definitions.py:44(from_string)
    11859    0.003    0.000    0.005    0.000 _mathtext.py:2469(<genexpr>)
      653    0.003    0.000    0.012    0.000 tokenize.py:459(tokenize)
    12119    0.003    0.000    0.003    0.000 util.py:404(__getitem__)
      653    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        2    0.003    0.002    0.003    0.002 {built-in method spglib._spglib.dataset}
      101    0.003    0.000    0.015    0.000 artist.py:139(<listcomp>)
        3    0.003    0.001    0.003    0.001 {method 'resize' of 'numpy.ndarray' objects}
     4749    0.003    0.000    0.006    0.000 util.py:646(__hash__)
     3851    0.003    0.000    0.003    0.000 fromnumeric.py:70(<dictcomp>)
     3054    0.003    0.000    0.758    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        3    0.003    0.001    0.003    0.001 {method 'readlines' of '_io._IOBase' objects}
      653    0.003    0.000    0.113    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      603    0.003    0.000    0.020    0.000 threadpoolctl.py:489(_make_module_from_path)
        6    0.003    0.000    0.009    0.002 decoder.py:343(raw_decode)
     1067    0.003    0.000    0.007    0.000 registry.py:474(_define_single_adder)
    13453    0.003    0.000    0.003    0.000 {built-in method builtins.iter}
     1218    0.003    0.000    0.064    0.000 registry.py:1052(_dedup_candidates)
     1842    0.003    0.000    0.021    0.000 util.py:540(from_word)
     6188    0.003    0.000    0.006    0.000 castep.py:553(record_mark_read)
     3062    0.003    0.000    0.018    0.000 <__array_function__ internals>:2(where)
      794    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:318(__exit__)
     8252    0.003    0.000    0.007    0.000 sre_parse.py:254(get)
     4228    0.002    0.000    0.003    0.000 {built-in method builtins.sorted}
     7758    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
    17731    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
  794/789    0.002    0.000    3.420    0.004 <frozen importlib._bootstrap>:576(module_from_spec)
  694/283    0.002    0.000    0.045    0.000 sre_parse.py:417(_parse_sub)
        4    0.002    0.001    0.004    0.001 codata.py:1498(parse_constants_2002to2014)
       32    0.002    0.000    0.003    0.000 glob.py:114(_iterdir)
      774    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.002    0.002    0.039    0.039 qpoint_phonon_modes.py:286(calculate_debye_waller)
     3094    0.002    0.000    0.016    0.000 castep.py:530(_read_entry)
      104    0.002    0.000    0.106    0.001 _distn_infrastructure.py:1689(__init__)
       21    0.002    0.000    0.002    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     1036    0.002    0.000    0.386    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      773    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
    12526    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
       11    0.002    0.000    0.007    0.001 util.py:262(<dictcomp>)
     7357    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     1159    0.002    0.000    0.002    0.000 functools.py:67(wraps)
        4    0.002    0.001    0.003    0.001 {method 'read' of '_io.TextIOWrapper' objects}
     2348    0.002    0.000    0.009    0.000 util.py:660(__eq__)
     1266    0.002    0.000    0.020    0.000 __init__.py:623(__setitem__)
     5712    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
      612    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
      238    0.002    0.000    0.004    0.000 ntpath.py:450(normpath)
       82    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
     7344    0.002    0.000    0.003    0.000 _collections_abc.py:719(__iter__)
     2511    0.002    0.000    0.004    0.000 _collections_abc.py:742(__iter__)
      326    0.002    0.000    0.007    0.000 util.py:670(operate)
     6791    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     1809    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(parent)
     1234    0.002    0.000    0.011    0.000 registry.py:341(UnitsContainer)
     5873    0.002    0.000    0.003    0.000 util.py:401(__len__)
       10    0.002    0.000    0.002    0.000 {built-in method numpy.fromfile}
     6482    0.002    0.000    0.002    0.000 __init__.py:929(<genexpr>)
     2177    0.002    0.000    0.002    0.000 types.py:164(__get__)
     1031    0.002    0.000    0.002    0.000 sre_parse.py:1036(expand_template)
     6790    0.002    0.000    0.002    0.000 util.py:784(_is_dim)
      643    0.002    0.000    0.004    0.000 util.py:973(__next__)
      283    0.002    0.000    0.078    0.000 sre_compile.py:759(compile)
      123    0.002    0.000    0.018    0.000 _distn_infrastructure.py:713(_construct_argparser)
     2629    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
    12078    0.002    0.000    0.002    0.000 inspect.py:2822(parameters)
      123    0.002    0.000    0.071    0.001 _distn_infrastructure.py:794(_construct_doc)
      839    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:58(__init__)
      488    0.002    0.000    0.153    0.000 definitions.py:126(from_string)
     1470    0.002    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      500    0.002    0.000    0.009    0.000 registry.py:455(_define_adder)
     2085    0.002    0.000    0.015    0.000 tokenize.py:147(_compile)
     2340    0.002    0.000    0.002    0.000 sre_parse.py:286(tell)
  497/488    0.002    0.000    0.016    0.000 registry.py:1990(_define)
      293    0.002    0.000    0.005    0.000 quantity.py:201(__new__)
        3    0.002    0.001    1.092    0.364 qt_compat.py:80(_setup_pyqt5plus)
     2016    0.002    0.000   10.161    0.005 <__array_function__ internals>:2(einsum)
      653    0.002    0.000    0.002    0.000 {built-in method _imp._fix_co_filename}
     3757    0.002    0.000    0.002    0.000 inspect.py:72(isclass)
      727    0.002    0.000    0.002    0.000 {method 'translate' of 'str' objects}
      283    0.002    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
      839    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
      419    0.002    0.000    0.004    0.000 inspect.py:1792(_signature_bound_method)
      188    0.002    0.000    0.002    0.000 colors.py:1001(<listcomp>)
     6470    0.002    0.000    0.002    0.000 {built-in method nt.fspath}
    15611    0.002    0.000    0.002    0.000 {method 'strip' of 'bytes' objects}
        1    0.002    0.002    3.196    3.196 __init__.py:58(<module>)
  497/488    0.002    0.000    0.011    0.000 registry.py:369(_define)
    10272    0.002    0.000    0.002    0.000 einsumfunc.py:989(_einsum_dispatcher)
       27    0.002    0.000    0.004    0.000 enum.py:134(__new__)
     1426    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap>:403(cached)
      135    0.002    0.000    0.007    0.000 inspect.py:1082(getfullargspec)
     1218    0.002    0.000    0.061    0.000 {built-in method fromkeys}
     6191    0.001    0.000    0.001    0.000 {built-in method _struct.unpack}
     1959    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      723    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
    10302    0.001    0.000    0.001    0.000 {built-in method builtins.id}
     2412    0.001    0.000    0.003    0.000 threadpoolctl.py:518(_check_prefix)
     6624    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      283    0.001    0.000    0.048    0.000 sre_parse.py:919(parse)
     9177    0.001    0.000    0.001    0.000 {built-in method sys.getrecursionlimit}
      216    0.001    0.000    0.363    0.002 artist.py:1327(__init__)
      761    0.001    0.000    0.006    0.000 font_manager.py:968(_json_decode)
    12677    0.001    0.000    0.001    0.000 inspect.py:2522(kind)
     2686    0.001    0.000    0.004    0.000 {method 'setdefault' of 'dict' objects}
      653    0.001    0.000    0.117    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.001    0.001    0.001    0.001 random.py:97(seed)
     1365    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      4/1    0.001    0.000    0.210    0.210 registry.py:518(load_definitions)
     5376    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
       20    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      834    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap>:147(__enter__)
      653    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      187    0.001    0.000    0.003    0.000 pathlib.py:50(parse_parts)
       11    0.001    0.000    0.002    0.000 util.py:251(<setcomp>)
     1342    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
      800    0.001    0.000    0.737    0.001 <frozen importlib._bootstrap_external>:1272(find_spec)
      825    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
   1156/6    0.001    0.000   10.703    1.784 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1869    0.001    0.000    0.002    0.000 _collections_abc.py:672(keys)
      286    0.001    0.000    0.005    0.000 overrides.py:89(verify_matching_signatures)
     3640    0.001    0.000    0.002    0.000 sre_parse.py:172(append)
     2440    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:859(__exit__)
      101    0.001    0.000    1.038    0.010 artist.py:128(_update_set_signature_and_docstring)
        1    0.001    0.001    0.004    0.004 registry.py:597(<dictcomp>)
     1218    0.001    0.000    0.065    0.000 registry.py:1000(parse_unit_name)
      139    0.001    0.000    0.001    0.000 {method 'repeat' of 'numpy.ndarray' objects}
      653    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      149    0.001    0.000    0.005    0.000 deprecation.py:133(deprecate)
      498    0.001    0.000    0.001    0.000 function_base.py:2103(__init__)
     3783    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
      115    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
       92    0.001    0.000    0.015    0.000 __init__.py:1338(_preprocess_data)
   524/65    0.001    0.000    9.126    0.140 {built-in method builtins.__import__}
 3627/861    0.001    0.000    0.001    0.000 docstring.py:48(_recursive_subclasses)
      127    0.001    0.000    0.079    0.001 docstring.py:36(__call__)
        3    0.001    0.000    0.001    0.000 {built-in method nt.scandir}
     4256    0.001    0.000    0.002    0.000 sre_parse.py:249(match)
     1284    0.001    0.000    0.002    0.000 typing.py:701(__setattr__)
     2221    0.001    0.000    0.055    0.000 re.py:232(compile)
      952    0.001    0.000    0.371    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        4    0.001    0.000    0.001    0.000 {built-in method gc.collect}
      565    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       25    0.001    0.000    0.003    0.000 numeric.py:1478(cross)
     4471    0.001    0.000    0.001    0.000 artist.py:1456(<genexpr>)
   260/11    0.001    0.000    0.004    0.000 pyparsing.py:1647(_parseNoCache)
  659/656    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
     2016    0.001    0.000   10.153    0.005 einsumfunc.py:997(einsum)
     1969    0.001    0.000    0.001    0.000 pint_eval.py:49(__init__)
       15    0.001    0.000    0.068    0.005 systems.py:171(from_lines)
     1163    0.001    0.000    0.001    0.000 registry.py:833(<genexpr>)
  497/488    0.001    0.000    0.013    0.000 registry.py:1308(_define)
     2440    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
1102/1101    0.001    0.000    0.056    0.000 {built-in method builtins.next}
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
      123    0.001    0.000    0.018    0.000 _distn_infrastructure.py:631(__init__)
      410    0.001    0.000    0.003    0.000 copy.py:66(copy)
      532    0.001    0.000    0.002    0.000 definitions.py:229(__init__)
      834    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:151(__exit__)
      456    0.001    0.000    0.007    0.000 deprecation.py:9(wrap)
      794    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
      759    0.001    0.000    0.003    0.000 ntpath.py:67(isabs)
     1799    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     1960    0.001    0.000    0.001    0.000 {built-in method from_bytes}
       21    0.001    0.000    0.151    0.007 arraysetops.py:138(unique)
     1970    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      104    0.001    0.000    0.015    0.000 _distn_infrastructure.py:1751(_attach_methods)
        1    0.001    0.001    0.002    0.002 datetime.py:5(<module>)
       23    0.001    0.000    0.001    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
      766    0.001    0.000    0.001    0.000 __init__.py:879(<lambda>)
       61    0.001    0.000    0.001    0.000 functools.py:476(decorating_function)
      283    0.001    0.000    0.002    0.000 enum.py:827(__and__)
     4678    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      316    0.001    0.000    0.027    0.000 overrides.py:183(decorator)
       99    0.001    0.000    0.005    0.000 quantity.py:1168(_mul_div)
     4678    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
       29    0.001    0.000    0.002    0.000 pathlib.py:504(_select_from)
      159    0.001    0.000    0.002    0.000 colors.py:195(_to_rgba_no_colorcycle)
        1    0.001    0.001    0.001    0.001 codata.py:1510(parse_constants_2018toXXXX)
     2184    0.001    0.000    0.001    0.000 inspect.py:80(ismethod)
      175    0.001    0.000    0.003    0.000 typing.py:600(__init__)
  120/118    0.001    0.000    3.388    0.029 <frozen importlib._bootstrap_external>:1040(create_module)
       55    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
