ForceConstants data was loaded
Setting up dimensions...
Calculating Debye-Waller factor on 6 x 6 x 6 q-point grid
Sampling 120 |q| shells between 0.0 1/Å and 3.0 1/Å
Final npts: 10000
Plotting figure: max intensity 1.8816308023672557 mb/meV
Saved plot to C:\Users\mll13652\Documents\TCP Group\PACE Project\brille-performance\profile_scripts\tmp.png
ForceConstants data was loaded
Generating grid...
Grid generated with 13753 q-points. Calculating frequencies/eigenvectors...
Filling grid...
Setting up dimensions...
Calculating Debye-Waller factor on 6 x 6 x 6 q-point grid
Sampling 120 |q| shells between 0.0 1/Å and 3.0 1/Å
Final npts: 10000
Plotting figure: max intensity 40.89079442621774 mb/meV
Saved plot to C:\Users\mll13652\Documents\TCP Group\PACE Project\brille-performance\profile_scripts\tmp.png
         73704374 function calls (73633751 primitive calls) in 824.944 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      123  553.885    4.503  553.885    4.503 {built-in method euphonic._euphonic.calculate_phonons}
      122   72.560    0.595   72.567    0.595 brille.py:113(_br_grid_calculate_phonons)
     5457   69.624    0.013   69.624    0.013 {built-in method numpy.core._multiarray_umath.c_einsum}
      123   19.660    0.160   20.519    0.167 threadpoolctl.py:430(_find_modules_with_enum_process_module_ex)
  1867212   14.909    0.000   14.909    0.000 sampling.py:104(_spherical_polar_to_cartesian)
      240   13.031    0.054   40.415    0.168 qpoint_phonon_modes.py:157(calculate_structure_factor)
      480   10.737    0.022   10.737    0.022 {method 'at' of 'numpy.ufunc' objects}
 18917368    8.362    0.000   14.596    0.000 numpy_func.py:57(<genexpr>)
      123    5.922    0.048  585.314    4.759 force_constants.py:429(_calculate_phonons_at_qpts)
 18922346    4.451    0.000    6.245    0.000 numpy_func.py:24(_is_quantity)
        1    3.359    3.359   12.465   12.465 brille.py:130(from_force_constants)
  1867212    3.124    0.000    3.124    0.000 sampling.py:110(_square_to_spherical_polar)
