Generating grid...
Grid generated with 13753 q-points. Calculating frequencies/eigenvectors...
Filling grid...
         7169953 function calls (6812947 primitive calls) in 46.280 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   671046    3.483    0.000    8.598    0.000 numpy_func.py:57(<genexpr>)
        5    3.205    0.641   18.190    3.638 npyio.py:1040(read_data)
   671074    3.181    0.000    5.115    0.000 numpy_func.py:24(_is_quantity)
        2    2.721    1.360    2.721    1.360 {built-in method euphonic._euphonic.calculate_phonons}
   482403    2.601    0.000    3.789    0.000 npyio.py:759(floatconv)
   160802    2.099    0.000    3.897    0.000 npyio.py:1028(split_line)
684971/684957    1.979    0.000    1.979    0.000 {built-in method builtins.hasattr}
        1    1.886    1.886    1.886    1.886 brille.py:113(_br_grid_calculate_phonons)
321602/160801    1.878    0.000    3.139    0.000 npyio.py:1011(pack_items)
321603/160802    1.752    0.000    4.021    0.000 _internal.py:872(__call__)
        1    1.729    1.729    4.085    4.085 brille.py:130(from_force_constants)
   160801    1.709    0.000    5.499    0.000 npyio.py:1067(<listcomp>)
6565/6561    1.698    0.000   10.471    0.002 {built-in method builtins.any}
617361/614646    1.510    0.000    1.523    0.000 {built-in method builtins.len}
   486790    1.199    0.000    1.199    0.000 {method 'lower' of 'str' objects}
   467925    1.131    0.000    1.131    0.000 {method 'append' of 'list' objects}
     1990    0.539    0.000    0.539    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
   160848    0.501    0.000    0.501    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
   169747    0.472    0.000    0.472    0.000 {method 'split' of 'str' objects}
   182885    0.457    0.000    0.457    0.000 {method 'startswith' of 'str' objects}
   169259    0.448    0.000    0.448    0.000 {method 'strip' of 'str' objects}
   160803    0.425    0.000    0.425    0.000 _iotools.py:11(_decode_line)
     2530    0.399    0.000    0.829    0.000 registry.py:1023(_parse_unit_name)
116135/116131    0.347    0.000    0.631    0.000 {built-in method builtins.isinstance}
     2668    0.306    0.000    0.600    0.000 inspect.py:614(cleandoc)
 3673/224    0.232    0.000    0.650    0.003 sre_compile.py:64(_compile)
      339    0.228    0.001    0.761    0.002 doccer.py:10(docformat)
        1    0.223    0.223   18.512   18.512 npyio.py:791(loadtxt)
 2940/232    0.201    0.000    0.767    0.003 sre_parse.py:470(_parse)
      358    0.159    0.000    0.318    0.001 doccer.py:177(indentcount_lines)
       39    0.157    0.004    0.157    0.004 {built-in method io.open}
       14    0.155    0.011    0.155    0.011 {method 'argsort' of 'numpy.ndarray' objects}
    51734    0.129    0.000    0.129    0.000 {method 'lstrip' of 'str' objects}
    46336    0.122    0.000    0.122    0.000 {built-in method builtins.min}
    22153    0.113    0.000    0.171    0.000 sre_parse.py:163(__getitem__)
    21172    0.109    0.000    0.169    0.000 sre_parse.py:253(get)
    15699    0.103    0.000    0.285    0.000 abc.py:180(__instancecheck__)
     4020    0.100    0.000    0.314    0.000 util.py:324(__init__)
      668    0.100    0.000    0.100    0.000 {built-in method numpy.array}
 4495/452    0.093    0.000    0.273    0.001 registry.py:722(_get_dimensionality_recurse)
    31332    0.092    0.000    0.096    0.000 {built-in method builtins.getattr}
9332/9146    0.088    0.000    1.029    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.088    0.088    0.314    0.314 force_constants.py:1530(_calculate_supercell_images)
    16926    0.083    0.000    0.124    0.000 sre_parse.py:171(append)
      634    0.078    0.000    0.078    0.000 {built-in method marshal.loads}
    25268    0.072    0.000    0.072    0.000 sre_parse.py:232(__next)
    24340    0.069    0.000    0.069    0.000 _weakrefset.py:70(__contains__)
21341/21327    0.068    0.000    0.087    0.000 {method 'join' of 'str' objects}
     4663    0.063    0.000    0.239    0.000 tokenize.py:492(_tokenize)
 2839/423    0.062    0.000    0.259    0.001 registry.py:865(_get_root_units_recurse)
     7006    0.062    0.000    0.103    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     1352    0.061    0.000    0.309    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
     7006    0.060    0.000    0.183    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
    11772    0.058    0.000    0.088    0.000 util.py:398(__iter__)
4586/1162    0.058    0.000    0.090    0.000 sre_parse.py:173(getwidth)
    20437    0.056    0.000    0.056    0.000 __init__.py:877(__getitem__)
    20421    0.055    0.000    0.055    0.000 {method 'rstrip' of 'str' objects}
     3850    0.053    0.000    0.053    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   1225/1    0.053    0.000   46.317   46.317 {built-in method builtins.exec}
     1169    0.052    0.000    0.226    0.000 inspect.py:2102(_signature_from_function)
     9584    0.052    0.000    0.105    0.000 enum.py:267(__call__)
2003/1804    0.051    0.000    0.887    0.000 {built-in method builtins.__build_class__}
    10717    0.050    0.000    0.075    0.000 mathtext.py:2839(<genexpr>)
    19603    0.050    0.000    0.050    0.000 {built-in method builtins.ord}
     8190    0.048    0.000    0.277    0.000 registry.py:630(get_name)
     5854    0.048    0.000    0.087    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
     1283    0.047    0.000    0.093    0.000 functools.py:44(update_wrapper)
     6188    0.047    0.000    0.080    0.000 castep.py:553(record_mark_read)
        1    0.046    0.046    0.235    0.235 castep.py:332(read_interpolation_data)
  118/116    0.046    0.000    0.069    0.001 {built-in method _imp.create_dynamic}
     3798    0.044    0.000    0.094    0.000 inspect.py:2452(__init__)
     3849    0.044    0.000    0.118    0.000 fromnumeric.py:70(_wrapreduction)
        2    0.042    0.021    9.090    4.545 force_constants.py:429(_calculate_phonons_at_qpts)
 1680/207    0.042    0.000    0.144    0.001 abc.py:196(__subclasscheck__)
        1    0.042    0.042    0.240    0.240 force_constants.py:967(_dipole_correction_init)
